Elevation,Aspect,Slope,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
-0.3670951177156842,7.14142842854285,1.7320508075688772,6.236369590203704,3.5263605246161616,3.1354942159291497,0.28125888316275877,8.745125259462244,0,29
-0.38146071928237774,7.483314773547883,1.4142135623730951,5.968707559985366,3.5553480614894135,2.995732273553991,0.3466273737543114,8.736489351001554,0,29
0.13091240326302475,11.789826122551595,3.0,8.064950891749143,3.044522437723423,2.833213344056216,-0.0020045760673026197,8.719644119505357,0,12
0.08542133163516191,12.449899597988733,4.242640687119285,8.036249942132116,2.833213344056216,2.833213344056216,-0.285268035297364,8.734238184268579,0,30
-0.3694893846434665,6.708203932499369,1.4142135623730951,5.971261839790462,3.5553480614894135,3.044522437723423,0.3248378768904605,8.727940222393896,0,29
-0.4077976554879825,11.489125293076057,2.449489742783178,4.219507705176107,3.2188758248682006,2.8903717578961645,0.10694290825195177,8.704833909687792,0,29
-0.3431524484378617,6.708203932499369,2.6457513110645907,6.452048954437226,3.4965075614664802,3.4011973816621555,0.06336391452425001,8.741456115998364,0,29
-0.3455467153656439,7.0,2.0,6.352629396319567,3.4965075614664802,3.2188758248682006,0.19410089570735528,8.736971085254146,0,29
-0.31681551223225685,6.708203932499369,3.0,6.502790045915623,3.4657359027997265,3.5263605246161616,-0.04558356979500437,8.739536422559677,0,29
-0.32878684687116816,7.681145747868608,3.1622776601683795,6.456769655572163,3.295836866004329,3.58351893845611,-0.24168904156966226,8.737292112544221,0,29
-0.32878684687116816,14.177446878757825,2.0,6.601230118728877,3.6109179126442243,2.4849066497880004,0.5645223423928202,8.736007384569218,0,18
0.3272422913411696,12.288205727444508,3.3166247903554,8.566744970245486,3.044522437723423,2.70805020110221,0.01978492079654826,8.306965865368573,0,30
-0.017532146259475037,11.575836902790225,4.69041575982343,8.075893630298857,1.9459101490553132,3.4339872044851463,-0.9389529412128903,8.714731714015052,0,30
-0.3359696476545149,14.628738838327793,2.6457513110645907,6.648984550024776,3.7376696182833684,2.0794415416798357,0.760627814167478,8.734238184268579,0,18
-0.5897619419994339,12.529964086141668,2.0,6.51471269087253,3.4339872044851463,2.70805020110221,0.3466273737543114,8.630700432209832,0,18
-0.608916077421692,7.14142842854285,2.6457513110645907,6.6240652277998935,3.4339872044851463,3.4011973816621555,0.041574417660399134,8.626406276389554,0,16
-0.33357538072673265,16.09347693943108,1.0,6.410174881966167,3.6635616461296463,2.772588722239781,0.5645223423928202,8.715552125907816,0,29
-0.5562422050104823,8.48528137423857,2.6457513110645907,6.39024066706535,3.295836866004329,3.332204510175204,-0.04558356979500437,8.631949428714426,0,18
