Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
101.2516103980918,11.391468203199807,1.9829174271037506,19.776084905874555,14.878703098764488,89111521.15349558,770531492.0278755,301.7669343902664,29.452993649349168,1,29,5
101.13175371027725,11.983506316381712,1.4543891541712968,18.138370761851018,13.665599781255484,87664356.23199092,811077779.9682487,308.9299880533881,29.38392636064705,1,29,5
105.3246213738449,19.336298259661024,4.259428068651104,20.108047840457655,25.71193418541126,109538435.21258801,853204770.0706997,271.02139594315867,29.249611081891732,1,12,2
104.95894933995288,20.447996062214262,6.583450301314174,19.228249954445563,25.50125968355142,116452856.02794915,853204770.0706997,240.78248667856963,29.365945535121806,1,30,2
101.23164386361492,10.639349269294181,1.4543891541712968,15.682247633932446,13.676800501404474,87664356.23199092,797388707.9914184,306.5395521168477,29.31569271418782,1,29,5
100.9116570443278,18.828630654348032,3.250540710374806,21.12228057843525,7.442319149718619,102926339.53560051,838984309.839831,282.7887995277297,29.131965802520973,1,29,2
101.4510656263302,10.639349269294181,3.6078066313442805,20.173531725737575,15.916421712921185,90575910.36933118,681846375.6994048,278.0729976729645,29.423631654886254,1,29,5
101.4311372618944,11.146170896584165,2.4472470975040217,18.946047349356856,15.431185558554278,90575910.36933118,744358977.3402144,292.25514550770123,29.387775384894823,1,29,5
101.67002698873223,10.639349269294181,4.259428068651104,19.15823775670906,16.16871559603977,92057650.265353,634743087.5005597,266.3352702699924,29.408279686972797,1,29,5
101.57055598560048,12.325484418370255,4.560161213184026,19.401754685701203,15.939760388556536,99731058.31667142,612129070.0491307,245.39998351029368,29.39034061623482,1,29,5
101.57055598560048,23.341041604262937,2.4472470975040217,16.866827331167233,16.66731043030939,84821195.51047412,927039645.8935275,332.98219509333416,29.38007592264754,1,18,5
106.88882017848418,20.17600664558841,4.847217293353381,23.158194228377862,29.64782297028882,109538435.21258801,882187634.8781238,273.36895949936013,26.121744373220384,1,30,2
104.12676400000706,18.975104588956228,7.428266351218906,15.543012459354003,25.792652572868615,135117022.59998834,669832613.616699,173.19244416315257,29.210543318756766,1,30,2
101.51082789873355,24.09310350320197,3.6078066313442805,15.543012459354003,16.91359758355217,78005940.5784785,989478718.8285936,354.8512103072974,29.365945535121806,1,18,5
99.37804854661192,20.582595249544372,2.4472470975040217,10.707899095119979,16.228458465210018,93556867.58308275,882187634.8781238,308.9299880533881,28.549273971364325,1,18,5
99.21527611187112,11.391468203199807,3.6078066313442805,8.538493872291445,16.784716183955734,93556867.58308275,681846375.6994048,275.7194993543731,28.515835548416153,1,16,5
101.53074105650975,26.52426038068032,0.8250606939669825,14.04683073653482,15.71059034651731,82045424.25405361,867605372.7034494,332.98219509333416,29.217064779744263,1,29,5
99.66227861796683,13.71109046630387,3.6078066313442805,11.978830046075016,15.613351290054162,99731058.31667142,706358336.6467791,266.3352702699924,28.55900627184375,1,18,5
99.39837688764254,0.0,2.4472470975040217,12.615300326430166,16.353664480666353,79336044.24127525,770531492.0278755,320.9228461163453,28.5102518205427,1,18,5
99.37804854661192,9.692237296101466,2.866091477607385,11.978830046075016,16.708978535028812,87664356.23199092,718859410.1007699,292.25514550770123,28.48648684531339,1,18,5
